Category,Description,Nutrient_Bank_Number,Alpha_Carotene,Beta_Carotene,Beta_Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein_and_Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar_Total,Thiamin,Water,Fat_Monosaturated_Fat,Fat_Polysaturated_Fat,Fat_Saturated_Fat,Fat_Total_Lipid,Major_Minerals_Calcium,Major_Minerals_Copper,Major_Minerals_Iron,Major_Minerals_Magnesium,Major_Minerals_Phosphorus,Major_Minerals_Potassium,Major_Minerals_Sodium,Major_Minerals_Zinc,Vitamins_Vitamin_A__RAE,Vitamins_Vitamin_B12,Vitamins_Vitamin_B6,Vitamins_Vitamin_C,Vitamins_Vitamin_E,Vitamins_Vitamin_K
Fudge,"Fudge, chocolate, chocolate-coated, with nuts",91713020,0,7,0,65.53,15,24,2.8,5,0,0.336,5.36,44,0.156,3.4,59.81,0.08,5.81,4.886,5.683,10.095,22.15,97,0.516,2.08,57,142,240,51,1.69,44,0.27,0.072,0.1,0.34,2.8
Nougat,"Nougat, with caramel, chocolate covered",91726110,0,4,0,71.17,9,16.5,1,1,0,0.154,4.01,31,0.103,2,59.69,0.046,6.3,2.23,0.26,12.016,17.23,115,0.147,0.49,20,67,124,167,0.69,31,0.18,0.014,0.7,0.89,3.6
MILKY WAY Bar,MILKY WAY Bar,91726130,0,4,0,71.17,9,16.5,1,1,0,0.154,4.01,31,0.103,2,59.69,0.046,6.3,2.23,0.26,12.016,17.23,115,0.147,0.49,20,67,124,167,0.69,31,0.18,0.014,0.7,0.89,3.6
Chocolate,"Chocolate, white",91705400,0,0,0,59.24,21,29.5,0.2,0,0,0.745,5.87,9,0.282,4.5,59,0.063,1.3,9.097,1.013,19.412,32.09,199,0.06,0.24,12,176,286,90,0.74,9,0.56,0.056,0.5,0.96,9.1
Coffee,"Coffee, instant, pre-lightened and pre-sweetened with low calorie sweetener, not reconstituted",92193020,0,9,0,59.94,0,0.7,0.5,0,0,0.188,1.96,0,0,0.9,59,0,6.16,1.705,0.576,25.128,29.1,18,0.011,0.06,2,135,909,0,0.02,1,0,0,0,0.26,3.8
Gumdrops,Gumdrops,91745010,0,0,0,98.9,0,0,0.1,0,0,0.01,0,0,0.013,0.8,58.97,0.006,1,0,0,0,0,3,0.012,0.4,1,1,5,44,0,0,0,0.005,0,0,0
Caramel,"Caramel, with nuts",91703030,0,3,0,70.03,6,11.4,0.7,1,0,0.256,5.77,10,0.244,2.1,58.57,0.129,8.01,2.356,8.29,2.878,14.39,134,0.191,0.44,33,140,239,218,0.73,11,0.27,0.109,0.5,0.49,1.9
Coffee,"Coffee, mocha, instant, pre-lightened and pre-sweetened with sugar, not reconstituted",92192000,0,2,0,74.04,0,31.3,1.9,4,0,2.263,5.29,0,0.028,6.2,58.2,0.031,1.7,8.934,1.053,4.934,15.87,271,0.435,0,68,251,1033,317,0.96,1,0.45,0.055,0.6,0,1.5
Coffee creamer,"Coffee creamer, powder, flavored",12210420,0,0,0,75.42,0,0.5,1.2,1,0,0.084,0.68,0,0.027,1.3,58.01,0.004,1.52,0.618,0.229,19.446,21.47,5,0.135,0.63,17,28,90,123,0.23,0,0,0.004,0,0.41,9.1
MILKY WAY MIDNIGHT Bar,MILKY WAY MIDNIGHT Bar,91726140,0,10,0,71.22,10,16.8,2.9,6,0,0.218,3.2,42,0.063,2.5,57.81,0.037,7.2,4.639,0.514,11.474,17.5,53,0.344,1.2,58,75,196,168,0.89,42,0.04,0.02,0.2,0.39,3.5
Icing,"Icing, chocolate",91305010,0,0,0,63.2,0,6.9,0.9,0,0,0.119,1.1,0,0.017,0.8,57.7,0.013,17,9.02,2.226,5.526,17.6,8,0.2,1.42,21,79,196,183,0.29,0,0,0.005,0,1.56,0
3 Musketeers Truffle Crisp Bar,3 Musketeers Truffle Crisp Bar,91726425,0,0,0,63.15,18,36.6,0,5,0,0.306,6.41,46,0.239,3.6,57.69,0.089,0.18,5.536,1.091,19.23,28.85,150,0.391,1.88,50,165,296,63,1.83,46,0.6,0.028,0,0.6,5.8
Marshmallow,Marshmallow,91723000,0,0,0,81.3,0,0.1,0.1,0,0,0.078,1.8,0,0.001,1.7,57.56,0.001,16.4,0.08,0.047,0.056,0.2,3,0.097,0.23,2,8,5,80,0.04,0,0,0.003,0,0,0
Fruit flavored snack,"Fruit flavored snack, baby food",67430000,0,1,0,86.68,0,9.1,0,2,0,0.057,0,0,0.01,1.9,57.4,0.015,12.89,0,0,0,0.02,12,0.037,0.24,7,9,54,89,0.03,0,0,0.014,8,0.01,0
Cake or cupcake,"Cake or cupcake, coconut, with icing or filling",53104400,0,1,0,63.2,1,6,1,4,0,1.063,4.4,12,0.189,10.7,57.39,0.128,20.7,3.692,2.162,3.897,10.3,90,0.067,1.16,12,70,99,284,0.33,12,0.06,0.029,0.1,0.12,4.1
Apple,"Apple, dried",62101100,0,0,0,65.89,0,17.6,8.7,18,0,0.927,0.93,0,0.159,1.3,57.19,0,31.76,0.013,0.093,0.052,0.32,14,0.191,1.4,16,38,450,87,0.2,0,0,0.125,3.9,0.53,3
Yogurt and fruit snack,"Yogurt and fruit snack, baby food",67430500,0,686,122,71.82,0,78,2.3,294,0,3.301,14.29,45,0.817,11.8,57.14,0.113,6,0.968,0.194,2.236,4,457,0.092,0,53,382,714,286,1.77,107,1.7,0.168,57.1,6.43,12.2
Topping,"Topping, butterscotch or caramel",91304010,0,0,0,57.01,0,6.6,0,0,0,0,1.21,19,0,1.3,57,0,40.63,0,0,0,0,49,0,0,5,39,66,341,0,19,0.18,0,0.5,0.05,0
Caramel dip,"Caramel dip, light",91306025,0,0,0,57.01,0,6.6,0,0,0,0,1.21,19,0,1.3,57,0,40.63,0,0,0,0,49,0,0,5,39,66,341,0,19,0.18,0,0.5,0.05,0
Gumdrops,"Gumdrops, chocolate covered",91709000,0,0,0,87.84,6,12.9,1,2,0,0.115,2.14,17,0.093,1.8,56.88,0.036,1.14,2.012,0.385,5.183,8.3,55,0.146,0.95,18,59,108,54,0.64,17,0.21,0.014,0,0.14,1.6
Caramel,"Caramel, chocolate-flavored roll",91703010,0,0,0,87.73,2,18.7,0.1,1,0,0.21,1.59,0,0.07,2.2,56.32,0.056,6.69,1.929,0.266,0.967,3.31,36,0.13,0.8,22,57,116,44,0.4,0,0,0.01,0,0.65,9.6
Cereal (Kellogg's Honey Smacks),Cereal (Kellogg's Honey Smacks),57243000,0,0,0,88.5,0,15.6,5,92,0,18.5,5.7,556,1.57,29.1,56.2,1.39,2.9,0.4,0.5,0.5,2.2,14,0.195,1.5,59,213,183,142,1.7,556,5.6,1.85,22,0.41,2.8
Cereal (Malt-O-Meal Golden Puffs),Cereal (Malt-O-Meal Golden Puffs),57306500,0,0,0,88.5,0,15.6,5,92,0,18.5,5.7,556,1.57,29.1,56.2,1.39,2.9,0.4,0.5,0.5,2.2,14,0.195,1.5,59,213,183,142,1.7,556,5.6,1.85,22,0.41,2.8
Cereal,"Cereal, puffed wheat, sweetened",57416010,0,0,0,88.5,0,15.6,5,92,0,18.5,5.7,556,1.57,29.1,56.2,1.39,2.9,0.4,0.5,0.5,2.2,14,0.195,1.5,59,213,183,142,1.7,556,5.6,1.85,22,0.41,2.8
Toffee,"Toffee, chocolate-coated, with nuts",91760200,0,1,0,66.83,11,23,1.8,2,0,1.418,7.62,23,0.258,3.1,56.2,0.161,5.46,5.408,4.16,7.258,18.22,149,0.261,1.19,45,167,309,179,1.24,24,0.4,0.081,0.3,1.27,2.7
Coffee,"Coffee, instant, pre-lightened and pre-sweetened with sugar, not reconstituted",92193000,0,0,0,82.96,0,13.9,0,0,0,3.622,2.4,0,0.02,1.9,56.07,0.001,1.41,3.294,0.162,6.453,11.29,19,0.028,0.68,43,136,680,47,0.07,0,0,0.004,0,0.42,0.8
Fudge,"Fudge, peanut butter, with nuts",91713060,0,8,0,61.63,10,23.2,1.9,1,0,3.435,7.84,30,0.111,2.7,55.99,0.073,6.3,8.147,8.025,5.384,22.97,47,0.269,0.74,60,139,217,138,1.05,31,0.05,0.168,0.1,2.43,0.7
Toblerone,"Toblerone, milk chocolate with honey and almond nougat",91703150,0,0,0,61.21,14,60.5,2.5,4,0,0.353,5.71,37,0.237,3.6,55.74,0.076,3.28,3.744,3.234,17.143,28.57,126,0.34,1.6,47,145,260,54,1.53,37,0.47,0.027,0,1.77,19.4
Marshmallow,"Marshmallow, chocolate covered",91723010,0,0,0,75.03,0,9,1.7,5,0,0.256,2.43,0,0.073,2,55.74,0.007,11.63,3.422,0.33,6.063,10.4,9,0.24,0.99,35,50,90,61,0.48,0,0,0.015,0,0.08,1.9
Taffy,Taffy,91750000,0,0,0,82.15,0,0.6,0,4,0,0.021,0.81,0,0.012,0.9,55.59,0.016,8.46,0.258,0.084,7.208,8.03,9,0.016,0.06,2,11,12,75,0.12,0,0.02,0.002,44.2,0.32,1.6
Fun Fruits Creme Supremes,Fun Fruits Creme Supremes,91708040,0,13,0,69.33,13,23.3,0.1,16,0,0.5,3.68,6,0.182,2.9,55.26,0.071,4.68,6.203,0.838,12.291,21.04,136,0.102,0.53,15,121,289,176,0.53,8,0.35,0.149,45.9,0.81,12.6
Chocolate,"Chocolate, semi-sweet morsel",91705200,0,0,0,63.9,0,22,5.9,18,0,0.427,4.2,0,0.09,4.2,54.5,0.055,0.7,9.966,0.966,17.75,30,32,0.7,3.13,115,132,365,11,1.62,0,0,0.035,0,0.26,5.6
Milk,"Milk, condensed, sweetened",11220000,0,14,0,54.4,34,89.1,0,0,0,0.21,7.91,73,0.416,14.8,54.4,0.09,27.16,2.427,0.337,5.486,8.7,284,0.015,0.19,26,253,371,127,0.94,74,0.44,0.051,2.6,0.16,0.6
Topping,"Topping, chocolate flavored hazelnut spread",91304090,0,1,0,62.36,0,17.6,5.4,10,0,0.427,5.41,0,0.17,3.6,54.05,0.085,1.07,0,0,28.423,29.73,108,0.469,4.38,64,152,407,41,1.06,1,0.27,0.082,0,4.96,1.9
Baby Ruth,Baby Ruth,91715200,0,0,0,64.8,0,34.9,2,0,0,1.251,5.4,0,0.121,2.5,54,0.058,6.99,5.557,2.638,12.1,21.6,47,0.225,0.63,43,94,249,230,0.72,0,0.06,0.042,0,0.93,2.3
Cereal (Post Golden Crisp),Cereal (Post Golden Crisp),57355000,0,2,0,90.1,0,13.8,5,92,0,18.5,5.5,832,1.6,48.6,53.6,1.4,1.4,0.6,0.6,0.2,1.7,15,0.2,6.7,59,227,176,95,5.6,832,5.6,1.9,0,0.33,0.9
Reese's Fast Break,Reese's Fast Break,91734400,0,0,0,63.9,9,20.9,3.6,0,0,2.789,8.93,14,0.113,3.7,53.57,0.117,1.66,8.104,4.241,8.036,23.21,36,0.322,0.64,60,156,257,321,1.45,14,0.18,0.061,0,2.56,1.8
Apricot,"Apricot, dried",62104100,0,2163,0,62.64,0,13.9,7.3,0,0,2.589,3.39,0,0.074,2.2,53.44,0.015,30.89,0.074,0.074,0.017,0.51,55,0.343,2.66,32,71,1162,10,0.39,180,0,0.143,1,4.33,3.1
Fruit leather and fruit snacks candy,Fruit leather and fruit snacks candy,91708030,1,34,0,84.31,0,13,0,46,0,0.1,0.55,0,0.06,1.6,53.37,0.064,11.25,1.48,0.551,0.661,2.84,25,0.171,0.88,17,28,229,258,0.19,4,0,0.3,88,0.56,18.2
Reese's Pieces,Reese's Pieces,91734200,0,0,0,59.86,0,28.7,3,0,0,6.06,12.46,0,0.22,0.8,53.25,0.18,1,4.46,1.88,16.42,24.77,69,0.41,0.49,88,207,359,194,1.15,0,0.11,0.11,0,0.99,5.9
Halvah,"Halvah, plain",91716010,0,16,0,57.36,0,10,4.5,0,0,2.262,7.98,0,0.045,13.7,53.08,0.273,1.47,10.754,14.093,5.603,32.04,24,0.55,2.51,135,260,145,19,2.63,1,0,0.156,0,3.48,2
Blueberry syrup,Blueberry syrup,91301050,0,1,0,85.13,0,0.2,0.1,1,0,0.012,0,0,0.012,0.8,53,0.033,14.74,0,0,0,0,8,0.018,0.04,1,0,7,0,0.26,0,0,0.001,1.6,0.01,0.1
TWIX Chocolate Fudge Cookie Bars,TWIX Chocolate Fudge Cookie Bars,91703250,0,0,0,56,6,20.9,3,4,0,1.11,7.3,9,0.2,7,53,0.14,2.2,14.319,12.521,4.962,33.3,130,0.293,1.31,46,147,309,266,0.92,9,0.33,0.04,1,2.71,18.6
Popcorn,"Popcorn, caramel coated",54403110,0,1,0,78.47,0,23.3,5.2,0,0,2.183,3.77,2,0.069,3.6,52.77,0.064,2.78,2.857,4.444,3.581,12.7,43,0.118,1.73,35,82,108,512,0.57,2,0.01,0.028,0,1.19,12.4
Halvah,"Halvah, chocolate covered",91716110,0,11,0,57.93,6,20.1,4.2,2,0,1.737,7.88,17,0.116,11.1,52.64,0.228,1.48,9.755,10.532,9.217,31.38,70,0.533,2.46,115,246,209,36,2.54,17,0.21,0.122,0,2.65,3
MARS Almond Bar,MARS Almond Bar,91726150,0,1,0,62.7,17,37.1,2,0,0,0.945,8.1,15,0.312,1.6,52.1,0.041,4.5,10.693,3.98,7.268,23,168,0.25,1.1,72,234,325,170,1.11,15,0.36,0.06,0.7,7.75,10.9
Milk,"Milk, dry, not reconstituted, NS as to fat content",11810000,0,1,0,51.98,20,169.2,0,0,0,0.951,36.16,653,1.55,27.3,51.98,0.415,3.16,0.2,0.03,0.499,0.77,1257,0.041,0.32,110,968,1794,535,4.08,653,4.03,0.361,6.8,0,0.1
Milk,"Milk, dry, not reconstituted, fat free (skim)",11813000,0,1,0,51.98,20,169.2,0,0,0,0.951,36.16,653,1.55,27.3,51.98,0.415,3.16,0.2,0.03,0.499,0.77,1257,0.041,0.32,110,968,1794,535,4.08,653,4.03,0.361,6.8,0,0.1
100 GRAND Bar,100 GRAND Bar,91715300,0,3,0,70.97,12,24.6,1,2,0,0.198,2.5,37,0.119,2.5,51.9,0.058,6.1,6.039,1.388,11.9,19.33,76,0.185,0.34,25,86,163,203,0.99,38,0.29,0.016,0.7,0.42,6.2
Cookie,"Cookie, sugar wafer, chocolate-covered",53209010,0,0,0,65.99,0,16.3,3.4,4,0,0.642,3.45,1,0.215,5.4,51.72,0.094,1.73,4.866,4.176,17.241,27.59,0,0.265,1.24,45,117,311,138,0.61,1,0.15,0.048,0,2.16,6.9
Peanut butter,"Peanut butter, chocolate covered",91734000,0,0,0,58.48,8,38.2,2.9,2,0,4.79,10.55,21,0.177,3.2,51.64,0.088,0.94,11.405,4.787,10.013,28.36,84,0.321,1.44,81,191,328,178,1.7,21,0.26,0.168,0,3.37,2.1
Coconut cream,"Coconut cream, canned, sweetened",42402010,0,0,0,53.21,0,6.6,0.2,0,0,0.038,1.17,0,0.04,5.5,51.5,0.022,28.97,0.679,0.159,15.472,16.31,4,0.236,0.13,17,22,101,36,0.6,0,0,0.029,0,0.13,0.1
Milk chocolate candy,"Milk chocolate candy, plain",91705010,0,0,0,59.4,23,46.1,3.4,6,0,0.386,7.65,59,0.298,4.5,51.5,0.112,1.5,7.186,1.376,18.509,29.66,189,0.491,2.35,63,208,372,79,2.3,59,0.75,0.036,0,0.51,5.7
Milk chocolate candy,"Milk chocolate candy, with fruit and nuts",91705050,0,0,0,59.98,8,36.8,4.3,4,0,1.448,7.58,38,0.233,3.6,51.48,0.086,6.45,7.787,2.123,13.211,24.38,125,0.428,1.59,69,190,494,47,1.61,38,0.48,0.073,0.2,1.53,4.2
Milk,"Milk, dry, not reconstituted, low fat (1%)",11812000,0,3,0,51.46,22,167.7,0,0,0,0.942,35.8,655,1.535,27,51.46,0.411,3.13,0.482,0.066,1.107,1.75,1245,0.041,0.32,109,958,1776,530,4.04,655,3.99,0.357,6.7,0.03,0.2
Peanut brittle,Peanut brittle,91733000,0,9,0,71.24,12,13.5,2.5,0,0,2.646,7.57,38,0.044,2.6,51.33,0.134,0.7,8.064,4.558,4.144,18.98,27,0.254,1.22,42,106,168,445,0.87,39,0.01,0.079,0,2.56,0.4
Jelly,"Jelly, all flavors",91401000,0,3,0,69.95,0,10.3,1,22,0,0.036,0.15,0,0.026,0.4,51.22,0.001,29.77,0.001,0.004,0.005,0.02,7,0.011,0.19,6,6,54,30,0.03,0,0,0.02,0.9,0,0.3
Milk chocolate candy,"Milk chocolate candy, with cereal",91705020,0,0,0,59.67,23,45.8,3.3,6,0,0.672,7.64,65,0.323,4.6,51.06,0.131,1.52,8.64,0.78,15.89,29.37,187,0.488,2.65,62,207,370,86,2.29,65,0.8,0.055,0.6,0.5,5.7
Chocolate,"Chocolate, white, with cereal",91705420,0,0,0,59.67,23,45.8,3.3,6,0,0.672,7.64,65,0.323,4.6,51.06,0.131,1.52,8.64,0.78,15.89,29.37,187,0.488,2.65,62,207,370,86,2.29,65,0.8,0.055,0.6,0.5,5.7
Chocolate,"Chocolate, white, with almonds",91705410,0,0,0,53.59,18,32.9,2,0,0,1.176,8.16,8,0.41,4.4,50.8,0.084,1.77,12.465,2.71,17.07,34.77,210,0.206,0.76,51,222,353,77,1.1,8,0.48,0.068,0.4,4.66,7.7
Espresso coffee beans,"Espresso coffee beans, chocolate-covered",91703600,0,0,0,55.25,20,40.5,5.7,5,0,0.332,7.41,51,0.315,4.3,50.75,0.098,2.42,13.735,1.31,18.138,33.18,169,0.492,2.29,64,188,413,70,2.02,51,0.65,0.031,0,0.44,5.4
M&M's Peanut Chocolate Candies,M&M's Peanut Chocolate Candies,91731010,0,0,0,60.48,8,37.3,3.7,0,0,3.362,9.57,22,0.106,4.1,50.75,0.063,2.48,8.086,3.456,10.169,26.13,102,0.505,1.16,69,190,347,50,1.76,22,0.32,0.09,0,2.85,3
SNICKERS Bar,SNICKERS Bar,91715100,0,6,0,61.51,13,38.5,2.3,16,0,3.6,7.53,45,0.13,7.8,50.47,0.06,5.55,7.875,3.014,9.069,23.85,93,0.27,0.72,72,190,323,239,2.5,46,0.16,0.09,0.5,1.5,1.9
M&M's Pretzel Chocolate Candies,M&M's Pretzel Chocolate Candies,91746200,0,3,0,72.94,13,29.3,2.5,4,0,0.433,5,34,0.203,3.3,50,0.082,4.84,3.302,1.014,8.986,15,50,0.271,0.9,39,135,253,475,1.25,34,0.45,0.032,0,0.37,4.7
Cereal (Kellogg's Froot Loops Marshmallow),Cereal (Kellogg's Froot Loops Marshmallow),57213010,12,19,0,89.3,0,5.8,7.4,283,0,17.2,4.59,505,1.47,8.5,49.9,1.28,2.5,0.5,0.69,1.5,2.79,9,0.086,15.5,25,65,95,393,5.19,507,5.19,1.72,52,0.3,0.6
Cake,"Cake, sponge, with icing or filling",53118200,1,3,1,68.29,70,26.2,0.3,58,0,1.406,3.69,30,0.302,6.3,49.79,0.17,18.67,2.554,3.424,1.714,8.21,49,0.042,1.92,8,101,81,498,0.38,30,0.16,0.036,0,0.76,5.2
Milk dessert or milk candy,"Milk dessert or milk candy, Puerto Rican style",13252200,0,14,0,55.35,29,89.1,0,0,0,0.21,6.84,73,0.405,2.7,49.74,0.016,28.71,2.143,0.375,4.534,7.35,251,0.004,0.17,22,193,350,129,0.79,74,0.31,0.016,2.6,0.2,1.3
M&M's Almond Chocolate Candies,M&M's Almond Chocolate Candies,91700500,0,1,0,60.5,8,37.7,5.6,0,0,0.952,7.53,24,0.324,2.7,49.22,0.11,2.52,11.29,3.753,9.435,27.76,155,0.552,1.73,116,203,381,45,1.86,24,0.22,0.055,0.6,9.52,2
Cookie,"Cookie, gluten free",53261000,0,0,0,76.03,0,19.6,2.5,3,0,0.39,2.19,0,0.076,0,49,0.05,2.84,6.142,1.807,7.905,17.89,19,0.261,2.81,40,70,157,275,0.66,0,0,0,0,2.31,25.6
Whatchamacallit,Whatchamacallit,91703400,0,1,0,63.23,12,25,1.9,0,0,2.47,8.04,37,0.21,0.7,48.86,0.11,3.04,3.78,0.83,17.04,23.68,118,0.12,1.13,28,138,303,299,0.43,37,0.37,0.04,0.9,1.27,4.3
Chocolate,"Chocolate, sweet or dark",91705300,4,12,0,60.18,4,28.8,6.4,24,0,0.708,4.5,0,0.146,3.2,48.81,0.023,0.75,10.51,1.048,19.536,33.2,40,0.825,5.44,132,180,429,20,1.8,1,0.12,0.042,0,0.4,7.2
Kit Kat,Kit Kat,91705030,0,0,0,64.59,11,31,1,23,0,0.5,6.51,24,0.21,5,48.68,0.117,1.63,5.844,0.895,17.953,25.99,125,0.22,1,37,135,231,54,0.09,24,0.56,0.02,0,0.34,5.2
Kit Kat White,Kit Kat White,91705430,0,0,0,64.59,11,31,1,23,0,0.5,6.51,24,0.21,5,48.68,0.117,1.63,5.844,0.895,17.953,25.99,125,0.22,1,37,135,231,54,0.09,24,0.56,0.02,0,0.34,5.2
Jam,"Jam, preserve, all flavors",91402000,0,0,0,68.86,0,10.2,1.1,0,0,0.036,0.37,0,0.076,2,48.5,0.016,30.47,0.038,0,0.01,0.07,20,0.1,0.49,4,19,77,32,0.06,0,0,0.02,8.8,0.12,0
Caramel dip,"Caramel dip, regular",91306020,0,24,0,48.47,32,8.4,0,0,0,0.006,1.16,117,0.005,1.3,48.46,0.001,36.96,3.153,0.456,7.705,12.17,45,0,0,5,37,60,386,0.01,119,0.18,0,0.4,0.39,1
Honey butter,Honey butter,81322000,0,65,0,48.5,89,9,0.1,0,0,0.088,0.53,276,0.036,0.9,48.33,0.002,16.72,8.656,1.253,21.152,33.4,13,0.021,0.26,2,12,40,267,0.17,282,0.07,0.015,0.3,0.96,2.9
Butterfinger Crisp,Butterfinger Crisp,91718110,0,1,0,68.45,0,13.8,1.7,28,0,2.438,6.67,0,0.094,11,48.33,0.133,5.05,4.465,2.17,10.592,18.33,33,0.421,0.6,89,153,429,13,1.23,0,0.05,0.146,0.1,1.31,3.2
TWIX Caramel Cookie Bars,TWIX Caramel Cookie Bars,91703200,0,0,0,64.8,7,20.9,1.1,5,0,1.109,4.91,20,0.208,4.3,48.25,0.155,4.23,2.988,0.628,18.96,24.85,106,0.197,0.81,27,105,186,198,1.06,20,0.33,0.025,0.6,0.74,5.6
Cereal (Malt-O-Meal Coco-Roos),Cereal (Malt-O-Meal Coco-Roos),57305170,23,35,0,86.75,0,2.6,3.3,543,0,16.67,3.41,477,1.41,5.2,48.11,1.25,2.5,0.887,0.555,2.57,4.61,333,0.319,30,27,72,201,350,12.5,481,5,1.66,20,0.02,0
Fig,"Fig, dried",62113100,0,6,0,63.9,0,15.8,9.8,32,0,0.619,3.3,0,0.082,0.6,47.9,0.085,30,0.159,0.345,0.144,0.92,162,0.287,2.03,68,67,680,10,0.66,0,0,0.106,1.2,0.36,15.6
Cake,"Cake, sponge, chocolate",53118300,1,3,1,66.45,70,28,0.7,58,0,1.366,4.12,30,0.19,6.5,47.67,0.171,19.43,4.186,1.179,2.715,8.75,51,0.121,2.42,16,125,144,497,0.46,30,0.16,0.037,0,0.78,0.1
Popcorn,"Popcorn, chocolate coated",54403160,0,1,0,76.37,0,22.2,8.3,4,0,2.181,5.34,2,0.086,4.6,47.66,0.066,2.8,3.025,4.044,4.024,12.79,51,0.482,2.93,81,147,249,493,1.19,2,0.01,0.037,0,1.08,11.4
Cookie,"Cookie, raisin",53237000,0,1,1,68,2,14.7,1.2,37,0,1.967,4.1,2,0.206,2.8,47.56,0.216,13.1,7.649,1.756,3.46,13.6,46,0.413,2.29,21,83,140,418,0.32,2,0.03,0.052,0.4,2.22,3.9
Cookie,"Cookie, brownie, with icing or filling",53204100,0,0,0,63.55,8,8.4,1.5,3,0,0.915,2.94,10,0.113,3.5,47.22,0.133,15.31,8.993,2.242,4.885,16.95,18,0.212,1.83,26,90,173,234,0.5,10,0.04,0.02,0,0.86,3.2
Chocolate,"Chocolate, milk, with peanuts",91705070,0,0,0,54.34,10,47.4,3.8,5,0,3.44,10.22,35,0.14,0,47.22,0.14,0.45,8.203,4.366,14.13,33.21,110,0.17,1.39,47,163,394,41,0.93,35,0.33,0.07,0.9,3.17,3.6
Honey-combed hard candy with peanut butter,"Honey-combed hard candy with peanut butter, chocolate covered",91718050,0,1,0,62.68,6,14.9,3.1,0,0,3.9,8.78,14,0.09,0.6,47.19,0.14,2.3,10.6,3.39,6.65,23.98,73,0.21,1.2,62,141,347,225,1.12,14,0.18,0.11,0.4,2.7,2.7
Reese's Peanut Butter Cup,Reese's Peanut Butter Cup,91734100,0,0,0,55.36,6,35.4,3.6,2,0,4.49,10.24,17,0.11,1.4,47.17,0.16,1.44,13.1,5.5,10.73,30.53,78,0.24,1.21,62,161,343,357,1.28,17,0.26,0.1,0.3,0.15,2
M&M's Peanut Butter Chocolate Candies,M&M's Peanut Butter Chocolate Candies,91731060,0,0,0,56.89,7,37.5,4,0,0,4.329,10.16,28,0.074,2.8,47.15,0.152,2,4.448,0.542,18.485,29.32,88,0.452,1.06,81,191,330,213,1.49,28,0.19,0.095,0.5,1.26,5.9
Cereal (Malt-O-Meal Corn Bursts),Cereal (Malt-O-Meal Corn Bursts),57305180,30,46,0,90.59,0,4.7,1.9,780,0,32.25,3.32,695,2.74,6.5,46.88,2.42,2.5,0.084,0.157,0.093,0.35,5,0.058,5.8,4,37,71,855,4.84,700,4.84,3.23,48.4,0.07,0
Topping,"Topping, marshmallow",91304040,0,0,0,79,0,0.1,0.1,0,0,0.076,0.8,0,0.001,1.9,46.8,0.001,19.8,0.08,0.047,0.056,0.3,3,0.095,0.22,2,8,5,80,0.04,0,0,0.002,0,0,0
Nougat,"Nougat, chocolate covered",91726410,0,0,1,83.15,6,16.6,3.3,2,0,0.452,4.54,17,0.19,3.1,46.8,0.041,1.97,2.012,0.385,6.383,9.51,76,0.234,1.08,41,98,180,46,0.95,17,0.22,0.024,0.2,2.14,1.6
Cake,"Cake, pound, with icing or filling",53116020,0,4,3,62.78,47,47.9,0.4,146,0,1.237,3.59,49,0.287,3.6,46.52,0.128,16.42,3.906,5.299,4.516,15.82,35,0.03,1.12,6,107,119,336,0.33,50,0.26,0.026,0,1.01,5.9
Date candy,Date candy,91708010,0,10,3,58.1,0,17.7,7.1,23,0,0.787,4.23,0,0.091,1.7,46.5,0.216,18.19,10.079,5.416,1.583,18.04,79,0.462,1.71,61,117,540,22,1.41,1,0,0.141,1.4,0.48,5.9
Cookie,"Cookie, fruit-filled bar",53220000,0,1,0,70.9,0,14.6,4.6,8,0,1.874,3.7,9,0.217,3.3,46.36,0.158,16.5,3.003,2.772,1.123,7.3,64,0.147,2.9,27,62,207,350,0.39,9,0.09,0.075,0.3,0.65,5.8
Cookie,"Cookie, fruit-filled bar, fat free",53220010,0,1,0,70.9,0,14.6,4.6,8,0,1.874,3.7,9,0.217,3.3,46.36,0.158,16.5,3.003,2.772,1.123,7.3,64,0.147,2.9,27,62,207,350,0.39,9,0.09,0.075,0.3,0.65,5.8
Cookie,"Cookie, fig bar",53220030,0,1,0,70.9,0,14.6,4.6,8,0,1.874,3.7,9,0.217,3.3,46.36,0.158,16.5,3.003,2.772,1.123,7.3,64,0.147,2.9,27,62,207,350,0.39,9,0.09,0.075,0.3,0.65,5.8
Cookie,"Cookie, fig bar, fat free",53220040,0,1,0,70.9,0,14.6,4.6,8,0,1.874,3.7,9,0.217,3.3,46.36,0.158,16.5,3.003,2.772,1.123,7.3,64,0.147,2.9,27,62,207,350,0.39,9,0.09,0.075,0.3,0.65,5.8
Cookie,"Cookie, rugelach",53251100,0,1,0,70.9,0,14.6,4.6,8,0,1.874,3.7,9,0.217,3.3,46.36,0.158,16.5,3.003,2.772,1.123,7.3,64,0.147,2.9,27,62,207,350,0.39,9,0.09,0.075,0.3,0.65,5.8
